holistic,hōˈlistik,целостный,characterized by comprehension of the parts of something as intimately interconnected and explicable only by reference to the whole.
conversely,kənˈvərslē,наоборот; обратно; вспять,introducing a statement or idea that reverses one that has just been made or referred to.
to arise,əˈrīz,возникать; появляться; происходить,"(of a problem, opportunity, or situation) emerge; become apparent."
relentless,riˈlentləs,неослабевающий; неустанный; беспощадный; беспощадный; ,oppressively constant; incessant.
resentment,riˈzentmənt,чувство обиды; негодование; возмущение,bitter indignation at having been treated unfairly.
to ride the wave of,,"""быть на гребне волны""","to enjoy the advantage of or continue to benefit from a situation that is successful, fortunate, trendy, etc."
to goof off,go͞of ôf,бездельничать,
to air your views,,поделиться своими взглядами; выразить свое мнение.,
deliberately,diˈlibəritlē,сознательно; умышленно; медленно; осторожно,consciously and intentionally; on purpose. in a careful and unhurried way.
meticulous,məˈtikyələs,тщательный; дотошный; мелочный,showing great attention to detail; very careful and precise.
pursuit,pərˈso͞ot,стремление; преследование; погоня,"the action of following or pursuing someone or something. an activity of a specified kind, especially a recreational or athletic one."
to pursue,pərˈso͞o,преследовать; продолжать; гнаться за; следовать по намеченному пути,follow (someone or something) in order to catch or attack them. (of a person or way) continue or proceed along (a path or route).
indivisible,ˈindiˈvizəbəl,неделимый; нераздельный,unable to be divided or separated.
brittle,ˈbritl,ломкий; хрупкий,hard but liable to break or shatter easily.
fragile,ˈfrajəl,хрупкий; ломкий; слабый; недолговечный,(of an object) easily broken or damaged.
caveat,ˈkavēˌät,предостережение; протест,"a warning or proviso of specific stipulations, conditions, or limitations."
palatable,ˈpalətəbəl,приятный; вкусный; аппетитный,(of food or drink) pleasant to taste.
agonizing,ˈagəˌnīziNG,мучительный; страшный,causing great physical or mental pain.
dimension,diˈmenCHən,измерение; размер; размерность; величина; объем; протяжение,"an aspect or feature of a situation, problem, or thing. a measurable extent of some kind, such as length, breadth, depth, or height."
hence,hens,следовательно; отсюда; с этих пор,as a consequence; for this reason. in the future (used after a period of time). from here.
to assemble,əˈsembəl,собирать; собираться,(of people) gather together in one place for a common purpose. fit together the separate component parts of (a machine or other object).
swap,swäp,обмен; сделка,an act of exchanging one thing for another.
to swap,swäp,менять; обменивать,take part in an exchange of.
inevitable,inˈevitəbəl,неизбежный; неминуемый; неизменный,certain to happen; unavoidable.
unanimous,yo͞oˈnanəməs,единогласный; единодушный,(of two or more people) fully in agreement.
dishonest,disˈänist,нечестный; мошеннический,behaving or prone to behave in an untrustworthy or fraudulent way.
rightly,ˈrītlē,справедливо; правильно; должным образом,correctly.
comprehensive,ˌkämpriˈhensiv,всесторонний; исчерпывающий; понятливый; легко схватывающий,complete; including all or nearly all elements or aspects of something.
thorough,ˈTHərō,тщательный; полный; подробный; основательный,complete with regard to every detail; not superficial or partial.
prerequisite,prēˈrekwəzət,предпосылка,a thing that is required as a prior condition for something else to happen or exist.
to bloat,blōt,раздуваться; пухнуть; коптить,make or become swollen with fluid or gas. cure (a herring) by salting and smoking it lightly.
big cheese,big CHēz,"""большая шишка""; важная персона",
to fuss,fəs,суетиться; волноваться из-за пустяков,show unnecessary or excessive concern about something.
delight,diˈlīt,"восторг, наслаждение, удовольствие, восхищение",great pleasure.
to delight,diˈlīt,"наслаждаться, восхищаться, восхищать",please (someone) greatly.
in spite of this,,несмотря на это,
as a matter of fact,,"по сути дела, на самом деле, фактически",
spine,spīn,позвоночник; шип; игла; колючка,"a series of vertebrae extending from the skull to the small of the back, enclosing the spinal cord and providing support for the thorax and abdomen; the backbone. any hard pointed defensive projection or structure, such as a prickle of a hedgehog, a spikelike projection on a sea urchin, a sharp ray in a fish's fin, or a spike on the stem of a plant."
*,ˈastəˌrisk,звездочка,
“”,ˌkwōˈtāSHən märks,кавычки,
',ˈsiNGgəl kwōt,одинарная кавычка,
"""",ˈdəbəl kwōt,двойная кавычка,
@,at,коммерческое at,
~,ˈtildə,тильда,
_,ˌʌn.dɚˈskɔːr,подчеркивание,
&,ˈampərˌsand,амперсант,
:,ˈkōlən,двоеточие,
;,ˈsemiˌkōlən,точка с запятой,
–,daSH,тире,
‐,ˈhīfən,дефис,
(),pəˈrɛnθɪsiːz,круглые скобки,
[],ˈbrakits,скобки,
/,ˈfôrwərd slaSH,приямая косая черта,
"\\",ˈbakwərd slaSH,обратная косая черта,
observant,əbˈzərvənt,наблюдательный; соблюдающий; внимательный; исполнительный,"quick to notice things. adhering strictly to the rules of a particular religion, especially Judaism."
punctual,ˈpəNGkCHo͞oəl,"пунктуальны, аккуратный, точный",happening or doing something at the agreed or proper time; on time.
subsequent,ˈsəbsəkwənt,последующий,coming after something in time; following.
vital,ˈvītl,жизненно важный; существенный; энергичный,absolutely necessary or important; essential. full of energy; lively. fatal.
to insist (on),inˈsist,настоять; настаивать; утверждать,"demand something forcefully, not accepting refusal."
likelihood,ˈlīklēˌho͝od,"вероятность, многообещающая будущность",the state or fact of something's being likely; probability.
explicit,ikˈsplisit,явный; точный; откровенный; подробный,"stated clearly and in detail, leaving no room for confusion or doubt."
implicit,imˈplisit,неявный; скрытый; подразумеваемый; безоговорочный,implied though not plainly expressed. with no qualification or question; absolute.
to defend,diˈfend,защищать; защищаться; отстаивать,resist an attack made on (someone or something); protect from harm or danger.
to preserve,priˈzərv,сохранять; хранить; охранять,maintain (something) in its original or existing state.
disparate,diˈsparit,"несоизмеримый, в корне отличный, несопоставимый",essentially different in kind; not allowing comparison.
desperation,ˌdespəˈrāSHən,безрассудство; отчаяние; безумие,"a state of despair, typically one that results in rash or extreme behavior."
to contradict,ˌkäntrəˈdikt,противоречить; возражать; опровергать; отрицать,"deny the truth of (a statement), especially by asserting the opposite."
compliance,kəmˈplīəns,соблюдение; согласие; податливость; уступчивость,the action or fact of complying with a wish or command. the property of a material of undergoing elastic deformation or (of a gas) change in volume when subjected to an applied force. It is equal to the reciprocal of stiffness.
incredibly,inˈkredəblē,невероятно,to a great degree; extremely or unusually. used to introduce a statement that is hard to believe; strangely.
gloomy,ˈglo͞omē,мрачный; угрюмый; хмурый; сумрачный; темный; унылый; печальный,"dark or poorly lit, especially so as to appear depressing or frightening."
poison,ˈpoizən,яд,a substance that is capable of causing the illness or death of a living organism when introduced or absorbed.
to poison,ˈpoizən,отравлять; портить,"administer poison to (a person or animal), either deliberately or accidentally."
poisonous,ˈpoiz(ə)nəs,ядовитый; отвратительный; противный,(of a substance or plant) causing or capable of causing death or illness if taken into the body.
sword,sôrd,меч; война; сила оружия,"a weapon with a long metal blade and a hilt with a hand guard, used for thrusting or striking and now typically worn as part of ceremonial dress."
easy-peasy,iːzɪˈpiːzi,очень просто,very straightforward and easy (used by or as if by children).
quarrel,ˈkwôrəl,ссора; спор,"an angry argument or disagreement, typically between people who are usually on good terms."
to quarrel,ˈkwôrəl,ссориться; спорить; разругаться,have an angry argument or disagreement.
to regain,riˈgān,вернуть себе; восстанавливать; отыгрывать,obtain possession or use of (something) again after losing it.
acquaintance,əˈkwāntns,знакомство; знакомый,"a person's knowledge or experience of something. a person one knows slightly, but who is not a close friend."
to get familiar (with),get fəˈmilyər,"ознакомиться, познакомиться",
to convince,kənˈvins,убеждать; уверять; доводить до сознания,cause (someone) to believe firmly in the truth of something.
to disclose,disˈklōz,раскрывать; вскрывать; разоблачать; обнаруживать,make (secret or new information) known.
nevertheless,ˌnevərT͟Həˈles,тем не менее; однако; несмотря на это,in spite of that; notwithstanding; all the same.
to rule out,ro͞ol out,исключать,
ugly,ˈəglē,уродливый; безобразный; неприятный,"unpleasant or repulsive, especially in appearance."
graceful,ˈgrāsfəl,изящный; грациозный; элегантный,having or showing grace or elegance.
sensible,ˈsensəbəl,здравомыслящий; разумный; здравый,(of a statement or course of action) chosen in accordance with wisdom or prudence; likely to be of benefit. readily perceived; appreciable.
auxiliary,ôgˈzilyərē,вспомогательный; дополнительный; добавочный; запасной,providing supplementary or additional help and support.
surface,ˈsərfis,поверхность; наружная поверхность; внешняя сторона,"the outside part or uppermost layer of something (often used when describing its texture, form, or extent)."
blame,blām,вина; ответственность; порицание,responsibility for a fault or wrong.
to blame,blām,обвинять; порицать; считать виновным,assign responsibility for a fault or wrong.
merely,ˈmi(ə)rlē,просто; только; единственно,just; only.
to anticipate,anˈtisəˌpāt,предвидеть; ожидать; предвосхищать; опережать; предупреждать; предчувствовать,regard as probable; expect or predict. act as a forerunner or precursor of.
abuse,əˈbjuːs,злоупотребление; ругань; плохое обращение,"treat (a person or an animal) with cruelty or violence, especially regularly or repeatedly. the improper use of something."
to abuse,əˈbjuːz,злоупотреблять; ругать; плохо обращаться,use (something) to bad effect or for a bad purpose; misuse.
to cut a long story short,,короче говоря,
to gather,ˈgaT͟Hər,собирать; почерпнуть; скапливаться,come together; assemble or accumulate.
beyond,biˈyänd,за; вне; после,at or to the further side of. happening or continuing after (a specified time or event).
to be intended (for),inˈtendid,быть предназначенным,
to contribute (to),kənˈtribyo͞ot,делать вклад; способствовать; содействовать,"give (something, especially money) in order to help achieve or provide something."
to be aimed (at),,быть нацеленным,
to afford,əˈfôrd,позволить себе; предоставлять; иметь возможность,have enough money to pay for. provide or supply (an opportunity or facility).
bother,ˈbäT͟Hər,беспокоить; беспокоиться; надоедать,"take the trouble to do something. (of a circumstance or event) worry, disturb, or upset (someone)."
surefire,ˈʃʊr.faɪ,верный; безошибочный; надежный,certain to succeed.
curious,ˈkyo͝orēəs,любопытный; странный; любознательный,eager to know or learn something. strange; unusual.
crucial,ˈkro͞oSHəl,решающий; критический; ключевой,"decisive or critical, especially in the success or failure of something."
to admire,ədˈmī(ə)r,восхищаться; любоваться; восторгаться,"regard (an object, quality, or person) with respect or warm approval."
to keep an eye (on),,следить за,
to cope (with),kōp,справляться; совладать; ладить,(in building) cover (a joint or structure) with a coping. (of a person) deal effectively with something difficult.
struggle,ˈstrəgəl,борьба; усилие; напряжение,a forceful or violent effort to get free of restraint or resist attack.
to struggle,ˈstrəgəl,бороться; биться; отбиваться,make forceful or violent efforts to get free of restraint or constriction.
rigid,ˈrijid,жесткий; твердый; неподвижный; строгий,unable to bend or be forced out of shape; not flexible. not able to be changed or adapted.
dispute,disˈpyo͞ot,спор; разногласия; диспут,"a disagreement, argument, or debate."
to dispute,disˈpyo͞ot,оспаривать; спорить; дискутировать,argue about (something); discuss heatedly.
in a nutshell,,в двух словах; вкратце; кратко,in the fewest possible words.
to recap,ˌrēkəˈp,резюмировать; конспектировать; перечислять,state again as a summary; recapitulate.
"to strive (to, for)",strīv,прилагать усилия; бороться; стараться,make great efforts to achieve or obtain something.
disruption,disˈrəpSHən,нарушение; разрушение; срыв,"disturbance or problems that interrupt an event, activity, or process."
to disrupt,disˈrəpt,разрушать; срывать; подрывать,"interrupt (an event, activity, or process) by causing a disturbance or problem."
to stipulate,ˈstēpyəˌlāt,оговаривать; обусловливать; ставить условием,"demand or specify (a requirement), typically as part of a bargain or agreement."
dread,dred,страх; боязнь; опасения,great fear or apprehension.
to dread,dred,бояться; страшиться; опасаться,anticipate with great apprehension or fear.
litany,ˈlitn-ē,список; серия повторяющихся предметов; перечень,"a series of petitions for use in church services or processions, usually recited by the clergy and responded to in a recurring formula by the people."
to sacrifice,ˈsakrəˌfīs,жертвовать,offer or kill as a religious sacrifice.
to be stoked,,быть в восторге; быть счастливым; счастлив быть,to be very excited
inextricably,ɪnɪkˈstrɪkəbli,неразрывно,in a way that is impossible to disentangle or separate.
rise,rīz,рост; повышение; подъем,an upward movement; an instance of becoming higher.
to rise,rīz,подниматься; повышаться; возрастать,move from a lower position to a higher one; come or go up.
scalability,ˌskeɪləˈbɪləti,масштабируемость,the capacity to be changed in size or scale.
simultaneous,ˌsīməlˈtānēəs,одновременный,"occurring, operating, or done at the same time."
annual,ˈanyo͞oəl,ежегодный; годовой; однолетний,occurring once every year.
decent,ˈdēsənt,приличный; порядочный; пристойный,conforming with generally accepted standards of respectable or moral behavior. of an acceptable standard; satisfactory.
intricate,ˈintrikit,запутанный; сложный; замысловатый,very complicated or detailed.
obsolete,ˌäbsəˈlēt,устарелый; отживший; вышедший из употребления,no longer produced or used; out of date.
instantaneous,ˌinstənˈtānēəs,мгновенный; немедленный,occurring or done in an instant or instantly. existing or measured at a particular instant.
retain,riˈtān,удерживать; сохранять; хранить,continue to have (something); keep possession of.
provisional,prəˈviZHənl,предварительный; временный; условный,"arranged or existing for the present, possibly to be changed later."
permanent,pərmənənt,постоянный; неизменный; долговременный,lasting or intended to last or remain unchanged indefinitely.
impediment,imˈpedəmənt,препятствие; помеха; задержка,a hindrance or obstruction in doing something.
contemporary,kənˈtempəˌrerē,современный; одновременный,a person or thing living or existing at the same time as another.
IMHO,,по моему скромному мнению,
deteriorate,diˈti(ə)rēəˌrāt,ухудшать; ухудшаться,become progressively worse.
to imbibe,imˈbīb,впитывать; поглощать; усваивать,
bizarre,biˈzär,странный; причудливый; эксцентричный,
unwarranted,ˌənˈwôrəntid,необоснованный; неоправданный,
vague,vāg,неопределенный; расплывчатый; неясный,
diversity,diˈvərsitē,разнообразие; многообразие,
favor,ˈfāvər,одолжение; благосклонность; расположение,
can you do me a favor ?,,можешь сделать мне одолжение ?,
voluble,ˈvälyəbəl,говорливый; многоречивый,speaking or spoken incessantly and fluently.
equivocate,iˈkwivəˌkāt,увиливать; говорить двусмысленно; увертываться,use ambiguous language so as to conceal the truth or avoid committing oneself.
to strengthen,ˈstreNG(k)THən,укреплять; усиливать; укрепляться; усиливаться; крепить,make or become stronger.
enhancement,enˈhansmənt,усиление; улучшение; усовершенствование,"an increase or improvement in quality, value, or extent."
outcome,ˈoutˌkəm,результат; исход; развязка; выход; последствие,the way a thing turns out; a consequence.
circumstances,,обстоятельства; условия; материальное положение,a fact or condition connected with or relevant to an event or action.
dry-run,,"прогон, репетиция",a rehearsal of a performance or procedure before the real one.
beneficial,ˌbenəˈfiSHəl,полезный; выгодный; благотворный,favorable or advantageous; resulting in good.
strain,strān,напряжение; деформация; нагрузка,force (a part of one's body or oneself) to make a strenuous or unusually great effort.
strained,strānd,напряженный; натянутый,"(of an atmosphere, situation, or relationship) not relaxed or comfortable; tense or uneasy."
pace,pās,темп; скорость; шаг,
to discover,disˈkəvər,открывать; обнаруживать; находить,find (something or someone) unexpectedly or in the course of a search.
to reveal,riˈvēl,раскрывать; открывать; показывать,make (previously unknown or secret information) known to others.
vigilant,ˈvijələnt,бдительный; неусыпный,keeping careful watch for possible danger or difficulties.
exaggeration,igˌzajəˈrāSHən,преувеличение,a statement that represents something as better or worse than it really is.
to foresee,fôrˈsē,предвидеть; провидеть; знать заранее,
inspiration,ˌinspəˈrāSHən,вдохновение; воодушевление; вдох,"the process of being mentally stimulated to do or feel something, especially to do something creative."
precautions,priˈkôSHən,меры предосторожности,
take precautions,,принять меры предосторожности,
treatment,ˈtrētmənt,лечение; обработка;обращение,
to treat,,лечить; относиться; обращаться; обрабатывать,
good to go,,можем идти,to ready to leave or to start doing something
other than that,,кроме этого,
to peril,,"подвергать опасности
",expose to danger; threaten.
peril,ˈperəl,опасность; риск,serious and immediate danger.
to upset,ˌəpˈset,расстраивать; огорчать; нарушать,"make (someone) unhappy, disappointed, or worried."
to allot,əˈlät,выделять; распределять; отводить,give or apportion (something) to someone as a share or task.
allotted,,"выделенный, предназначенный",
to tolerate,ˈtäləˌrāt,терпеть; допускать; дозволять,"allow the existence, occurrence, or practice of (something that one does not necessarily like or agree with) without interference."
pal,pal,приятель; дружок; товарищ; собутыльник,a friend.
accurately,,точно; правильно; тщательно,
ambidextrous,ˌambiˈdekst(ə)rəs,владеющий двумя руками; двуличный,(of a person) able to use the right and left hands equally well.
ambience,ˈambēəns,атмосфера; окружение,the character and atmosphere of a place.
to obtain,əbˈtān,получать; приобретать; добиваться,"get, acquire, or secure (something)."
to acquire,əˈkwī(ə)r,приобретать; получать; овладевать,buy or obtain (an object or asset) for oneself.
meanwhile,ˈmēnˌ(h)wīl,между тем; тем временем,in the intervening period of time.
mitigate,ˈmitəˌgāt,смягчать; уменьшать; облегчать,"make less severe, serious, or painful."
transparent,tranˈspe(ə)rənt,прозрачный; понятный; ясный,
to pencil in,,сделать предварительную заметку,"to arrange for something to happen or for someone to do something, knowing that it may have to be changed later"
to point out,,указывать; показывать; обращать внимание,
clay,klā,глина; глинозем; ил,"a stiff, sticky fine-grained earth, typically yellow, red, or bluish-gray in color and often forming an impermeable layer in the soil. It can be molded when wet, and is dried and baked to make bricks, pottery, and ceramics."
obstinate,ˈäbstənit,упрямый; упорный; строптивый,"stubbornly refusing to change one's opinion or chosen course of action, despite attempts to persuade one to do so."
entire,enˈtīr,весь; целый; полный,with no part left out; whole.
to reach out (to sb.),,обратиться к кому-л.,"to try to communicate with a person or a group of people, usually in order to help or involve them"
to fashion,ˈfaSHən,моделировать,
essential,iˈsenCHəl,существенный; основной; необходимый,
to get rid of,,избавиться от,
to get stuck,,застрять,
to compose,kəmˈpōz,составить; сочинять; составлять; создавать,"1) write or create (a work of art, especially music or poetry). 2) (of elements) constitute or make up (a whole)."
to comprise,kəmˈprīz,"содержать, включать, охватывать",consist of; be made up of.
to compel,kəmˈpel,принуждать; заставлять; вынуждать,force or oblige (someone) to do something.
to neglect,niˈglekt,пренебрегать; упускать; не обращать внимания,fail to care for properly.
to carve,kärv,вырезать; разделывать; резать; делить; высекать; гравировать,
persuasive,pərˈswāsiv,убедительный,
to persuade,pərˈswād,убеждать,
to hand in,,"сдавать, вручать, подавать (документы)",
to puzzle,ˈpəzəl,озадачивать; приводить в затруднение; усложнять,cause (someone) to feel confused because they cannot understand or make sense of something.
cunning,ˈkəniNG,"хитрый, коварный, ловкий; хитрость, ловкость, остроумие",adjective: 1) having or showing skill in achieving one's ends by deceit or evasion. 2) attractive; quaint. noun: skill in achieving one's ends by deceit.
rogue,rōg,"мошенник, бродяга, негодяй",a dishonest or unprincipled man.
cauliflower,ˈkôliˌflou(-ə)r,цветная капуста,
squash,"skwäSH,skwôSH",кабачок,
aubergine,ˈōbərˌZHēn,баклажан,eggplant
rapport,"raˈpôr,rə-","связь, взаимопонимание, взаимоотношения",a close and harmonious relationship in which the people or groups concerned understand each other's feelings or ideas and communicate well.
to establish,iˈstabliSH,"устанавливать, создавать, учреждать",
obnoxious,əbˈnäkSHəs,"противный, неприятный, противный",extremely unpleasant.
perception,pərˈsepSHən,"восприятие, ощущение, понимание",
feasible,ˈfēzəbəl,выполнимый,
tremendous,trəˈmendəs,огромный,"very great in amount, scale, or intensity. inspiring awe or dread."
flattery,ˈflatərē,лесть,
suspicious,səˈspiSHəs,подозрительный,
trustworthy,ˈtrəstˌwərT͟Hē,заслуживающий доверия,
flawless,ˈflôləs,безупречный,without any blemishes or imperfections; perfect.
to foster,ˈfôstər,"поощрять, воспитывать, благоприятствовать","encourage or promote the development of (something, typically something regarded as good)."
to encourage,enˈkərij,"поощрять, поддерживать, ободрять","give support, confidence, or hope to (someone)."
to boost,bo͞ost,"повышать, способствовать росту; поддержка, ускорение",[verb] help or encourage (something) to increase or improve. [noun] a source of help or encouragement leading to increase or improvement.
scruffy,ˈskrəfē,"грязный, неряшливый",shabby and untidy or dirty.
bubbly,ˈbəb(ə)lē,"always happy, friendly",(of a person) full of cheerful high spirits.
adverse,"adˈvərs,ˈadvərs","неблагоприятный, враждебный, вредный",preventing success or development; harmful; unfavorable.
mediocre,ˌmēdēˈōkər,посредственный,
consequence,,последствие,
implication,,последствие,"1) the conclusion that can be drawn from something, although it is not explicitly stated. 2) the action or state of being involved in something."
whilst,(h)wīlst,в то время как,
sustainable,səˈstānəbəl,поддерживаемый,1) able to be maintained at a certain rate or level. 2) able to be upheld or defended.
bottleneck,ˈbätlˌnek,узкое место,"1) the neck or mouth of a bottle. 2) a point of congestion or blockage, in particular."
to befuddle,biˈfədl,одурманивать,make (someone) unable to think clearly.
ambiguity,ˌambiˈgyo͞o-itē,неоднозначность,uncertainty or inexactness of meaning in language.
oddly,,странно,
effortlessly,,без особых усилий,
intentionally,inˈtenCHənlē,намеренно,deliberately; on purpose.
malicious,məˈliSHəs,злонамеренный,characterized by malice; intending or intended to do harm.
apprehension,ˌapriˈhenSHən,"опасение, мрачное предчувствие; понимание; задержание, арест",1) understanding; grasp. 2) anxiety or fear that something bad or unpleasant will happen. 3) the action of arresting someone.
on and off,,время от времени,
by and large,,в общем и целом,
to pertain (to),pərˈtān,относится,"be appropriate, related, or applicable."
mutter,ˈmətər,бормотание,
overindulged,ˌōvərənˈdəlj,избалованый,"have too much of something enjoyable, especially food or drink."
overwhelmingly,,чрезвычайно; в подавляющем большинстве случаев; очень; несказанно,
feisty,ˈfīstē,энергичный,"(of a person, typically one who is relatively small or weak) lively, determined, and courageous."
rationale,ˌraSHəˈnal,обоснование,
smoothly,smo͞oT͟Hlē,плавно,
to convey,kənˈvā,передавать,
to have your hands full,,быть занятым,have as much work as one can do
to come across,,"встретить, натолкнуться, повстречаться",
bear with me,,потерпите меня; будьте ко мне снисходительны,used as a polite way of asking someone to be patient while you do or finish something
water under the bridge,,"""много воды с тех пор утекло""; это все в прошлом",used to refer to events that are in the past and consequently no longer to be regarded as important.
to be blown away,,"быть сильно впечатленным, удивленным, пораженным","to be thoroughly impressed, overwhelmed, or excited by something"